"age","api","pho","bel","lin","lgr","lam","lir","lst","lpi","pbd","bch",".row"
25,9.6,"MORTGAGE",1,"MEDICAL","C",5.5,12.87,1,0.57,"N",3,1
23,65.5,"RENT",4,"MEDICAL","C",35,15.23,1,0.53,"N",2,2
21,9.9,"OWN",2,"VENTURE","A",2.5,7.14,1,0.25,"N",2,3
26,77.1,"RENT",8,"EDUCATION","B",35,12.42,1,0.45,"N",3,4
24,78.956,"RENT",5,"MEDICAL","B",35,11.11,1,0.44,"N",4,5
21,10,"OWN",2,"HOMEIMPROVEMENT","A",4.5,8.63,1,0.45,"N",2,6
23,95,"RENT",2,"VENTURE","A",35,7.9,1,0.37,"N",2,7
26,108.16,"RENT",4,"EDUCATION","E",35,18.39,1,0.32,"N",4,8
23,115,"RENT",2,"EDUCATION","A",35,7.9,0,0.3,"N",4,9
23,120,"RENT",0,"EDUCATION","A",35,7.9,0,0.29,"N",4,10
22,65,"RENT",4,"EDUCATION","D",34,17.58,1,0.52,"N",4,11
24,10.98,"OWN",0,"PERSONAL","A",1.5,7.29,0,0.14,"N",3,12
22,80,"RENT",3,"PERSONAL","D",33.95,14.54,1,0.42,"Y",4,13
21,11,"MORTGAGE",3,"VENTURE","E",4.575,17.74,1,0.42,"Y",3,14
23,11,"OWN",0,"PERSONAL","A",1.4,9.32,0,0.13,"N",3,15
24,65,"RENT",6,"HOMEIMPROVEMENT","B",32.5,9.99,1,0.5,"N",3,16
25,120,"RENT",2,"VENTURE","A",32,6.62,0,0.27,"N",2,17
26,95,"RENT",7,"HOMEIMPROVEMENT","C",31.05,14.17,1,0.33,"Y",3,18
22,48,"RENT",1,"EDUCATION","E",30,18.39,1,0.63,"N",2,19
25,75,"RENT",4,"HOMEIMPROVEMENT","D",30,16.89,1,0.4,"Y",4,20
23,71.5,"RENT",3,"DEBTCONSOLIDATION","D",30,11.11,1,0.42,"N",4,21
26,62.05,"RENT",6,"MEDICAL","E",30,17.99,1,0.41,"N",2,22
24,12,"OWN",4,"VENTURE","B",2.5,12.69,1,0.21,"N",3,23
26,80.69,"RENT",8,"PERSONAL","A",30,7.49,1,0.37,"N",3,24
22,66.3,"RENT",4,"MEDICAL","B",30,12.69,1,0.38,"N",3,25
26,89.028,"RENT",0,"DEBTCONSOLIDATION","A",30,6.62,1,0.34,"N",3,26
24,78,"RENT",4,"DEBTCONSOLIDATION","D",30,11.11,1,0.38,"Y",4,27
24,12,"OWN",2,"VENTURE","E",1.75,11.11,0,0.15,"Y",3,28
25,12,"OWN",0,"MEDICAL","C",3,11.11,1,0.25,"N",3,29
23,65,"RENT",2,"EDUCATION","A",28,7.9,1,0.43,"N",2,30
26,85,"RENT",2,"VENTURE","A",28,7.49,1,0.33,"N",3,31
26,12,"OWN",2,"EDUCATION","A",6.1,7.51,1,0.51,"N",3,32
24,83.004,"RENT",0,"VENTURE","D",28,15.99,1,0.34,"Y",4,33
25,100,"RENT",5,"DEBTCONSOLIDATION","B",28,12.69,0,0.28,"N",3,34
26,12,"OWN",0,"DEBTCONSOLIDATION","A",2.7,11.11,1,0.23,"N",4,35
24,69,"RENT",2,"HOMEIMPROVEMENT","A",27.6,11.11,1,0.4,"N",2,36
22,70,"RENT",4,"EDUCATION","C",27.5,13.06,1,0.39,"Y",3,37
26,73.2,"RENT",5,"VENTURE","D",27.05,15.62,1,0.37,"Y",2,38
24,83,"RENT",5,"PERSONAL","C",27,13.49,1,0.33,"Y",2,39
24,73.399,"RENT",0,"VENTURE","D",27,11.11,1,0.37,"N",3,40
23,120,"RENT",1,"EDUCATION","B",25.6,12.69,0,0.21,"N",3,41
24,12.36,"OWN",2,"MEDICAL","C",1.6,13.57,0,0.13,"N",3,42
22,60,"RENT",0,"VENTURE","B",25.475,10.99,1,0.42,"N",3,43
25,12.6,"OWN",3,"PERSONAL","C",1.75,13.61,0,0.14,"N",3,44
21,42.5,"RENT",3,"EDUCATION","C",25,12.73,1,0.59,"Y",3,45
24,41,"RENT",2,"HOMEIMPROVEMENT","D",25,11.11,1,0.61,"N",3,46
25,12.816,"OWN",0,"DEBTCONSOLIDATION","C",3,12.87,1,0.23,"Y",4,47
24,12.96,"MORTGAGE",1,"HOMEIMPROVEMENT","B",3.65,9.91,1,0.28,"N",3,48
24,12.96,"MORTGAGE",0,"DEBTCONSOLIDATION","B",4.5,11.83,1,0.35,"N",4,49
23,12.996,"OWN",0,"DEBTCONSOLIDATION","C",2.4,13.49,1,0.18,"Y",2,50
26,48,"RENT",2,"EDUCATION","B",25,9.64,1,0.52,"N",4,51
25,12.996,"OWN",1,"MEDICAL","D",3.6,14.59,1,0.28,"N",3,52
22,12.996,"OWN",1,"EDUCATION","B",4.75,11.11,1,0.37,"N",3,53
25,42.36,"RENT",1,"EDUCATION","E",25,16.35,1,0.59,"Y",3,54
